seconds,t_motor,t_ambient
1078.89,31.31,22.437
1082.99,31.31,22.437
1087.08,31.31,22.437
1091.18,31.37,22.375
1095.27,31.37,22.437
1099.37,31.44,22.375
1103.47,31.44,22.375
1107.56,31.44,22.375
1111.66,31.5,22.375
1115.75,31.5,22.375
1119.85,31.5,22.375
1123.95,31.56,22.375
1128.04,31.56,22.375
1132.14,31.62,22.437
1136.23,31.62,22.375
1140.33,31.62,22.375
1144.43,31.69,22.375
1148.52,31.69,22.375
1152.62,31.69,22.375
1156.71,31.75,22.375
1160.81,31.75,22.375
1164.91,31.75,22.375
1169.0,31.81,22.375
1173.1,31.81,22.375
1177.19,31.87,22.375
1181.29,31.87,22.375
1185.39,31.87,22.375
1189.48,31.94,22.375
1193.58,31.94,22.375
1197.67,32.0,22.375
1201.77,32.0,22.375
1205.87,32.0,22.375
1209.96,32.0,22.375
1214.06,32.06,22.375
1218.15,32.06,22.375
1222.25,32.06,22.375
1226.35,32.12,22.375
1230.44,32.12,22.375
1234.54,32.12,22.375
1238.63,32.19,22.375
1242.73,32.19,22.375
1246.83,32.19,22.375
1250.92,32.25,22.375
1255.02,32.25,22.375
1259.11,32.25,22.375
1263.21,32.31,22.375
1267.31,32.25,22.375
1271.4,32.31,22.375
1275.5,32.38,22.375
1279.59,32.38,22.437
1283.69,32.38,22.375
1287.79,32.38,22.375
1291.88,32.44,22.375
1295.98,32.44,22.375
1300.07,32.44,22.375
1304.17,32.5,22.375
1308.27,32.5,22.375
1312.36,32.5,22.375
1316.46,32.56,22.375
1320.55,32.56,22.375
1324.65,32.56,22.375
1328.75,32.62,22.375
1332.84,32.62,22.437
1336.94,32.62,22.375
1341.03,32.69,22.375
1345.13,32.69,22.375
1349.23,32.69,22.375
1353.32,32.75,22.375
1357.42,32.75,22.375
1361.51,32.75,22.375
1365.61,32.75,22.375
1369.71,32.81,22.375
1373.8,32.81,22.375
1377.9,32.81,22.375
1381.99,32.88,22.375
1386.09,32.88,22.375
1390.19,32.88,22.375
1394.28,32.94,22.375
1398.38,32.94,22.375
1402.47,33.0,22.375
1406.57,33.0,22.375
1410.67,33.0,22.375
1414.76,33.0,22.375
1418.86,33.06,22.375
1422.95,33.06,22.375
1427.05,33.12,22.375
1431.15,33.06,22.375
1435.24,33.12,22.375
1439.34,33.12,22.375
1443.43,33.12,22.312
1447.53,33.12,22.375
1451.63,33.19,22.375
1455.72,33.19,22.375
1459.82,33.19,22.375
1463.91,33.25,22.375
1468.01,33.25,22.375
1472.11,33.25,22.375
1476.2,33.31,22.375
1480.3,33.25,22.375
1484.39,33.31,22.375
1488.49,33.31,22.375
1492.59,33.31,22.375
1496.68,33.38,22.375
1500.78,33.38,22.375
1504.87,33.38,22.375
1508.97,33.38,22.375
1513.07,33.44,22.375
1517.16,33.44,22.375
1521.26,33.5,22.375
1525.35,33.5,22.375
1529.45,33.5,22.375
1533.55,33.5,22.375
1537.64,33.56,22.375
1541.74,33.5,22.375
1545.83,33.5,22.375
1549.93,33.56,22.375
1554.03,33.56,22.375
1558.12,33.62,22.312
1562.22,33.62,22.375
1566.31,33.62,22.375
1570.41,33.69,22.375
1574.51,33.69,22.375
1578.6,33.69,22.375
1582.7,33.69,22.375
1586.79,33.75,22.375
1590.89,33.75,22.375
1594.99,33.75,22.375
1599.08,33.75,22.375
1603.18,33.81,22.375
1607.27,33.81,22.375
1611.37,33.81,22.375
1615.47,33.88,22.312
1619.56,33.88,22.375
1623.66,33.88,22.312
1627.75,33.88,22.375
1631.85,33.88,22.312
1635.95,33.94,22.312
1640.04,33.94,22.312
1644.14,34.0,22.375
1648.23,33.94,22.312
1652.33,33.94,22.312
1656.43,34.0,22.312
1660.52,34.0,22.375
1664.62,34.0,22.375
1668.71,34.0,22.375
1672.81,34.0,22.375
1676.91,34.06,22.375
1681.0,34.06,22.375
1685.1,34.06,22.375
1689.19,34.06,22.375
1693.29,34.06,22.375
1697.39,34.12,22.312
1701.48,34.12,22.312
1705.58,34.12,22.312
1709.67,34.12,22.312
1713.77,34.19,22.312
1717.87,34.19,22.312
1721.96,34.19,22.312
1726.06,34.19,22.312
1730.15,34.25,22.375
1734.25,34.25,22.312
1738.35,34.25,22.375
1742.44,34.25,22.312
1746.54,34.25,22.312
1750.63,34.25,22.312
1754.73,34.31,22.312
1758.83,34.31,22.312
1762.92,34.31,22.312
1767.02,34.31,22.312
1771.11,34.31,22.312
1775.21,34.31,22.375
1779.31,34.31,22.312
1783.4,34.31,22.312
1787.5,34.31,22.312
1791.59,34.38,22.312
1795.69,34.38,22.312
1799.79,34.38,22.312
1803.88,34.38,22.312
1807.98,34.38,22.375
1812.07,34.44,22.312
1816.17,34.44,22.375
1820.27,34.44,22.312
1824.36,34.44,22.375
1828.46,34.44,22.312
1832.55,34.5,22.312
1836.65,34.5,22.312
1840.75,34.5,22.312
1844.84,34.5,22.312
1848.94,34.5,22.312
1853.03,34.5,22.312
1857.13,34.56,22.25
1861.23,34.5,22.312
1865.32,34.56,22.312
1869.42,34.56,22.312
1873.51,34.56,22.312
1877.61,34.56,22.312
1881.71,34.56,22.312
1885.8,34.62,22.312
1889.9,34.62,22.312
1893.99,34.62,22.312
1898.09,34.62,22.375
1902.19,34.62,22.312
1906.28,34.62,22.312
1910.38,34.62,22.312
1914.47,34.69,22.375
1918.57,34.69,22.375
1922.67,34.62,22.312
1926.76,34.69,22.312
1930.86,34.69,22.312
1934.95,34.69,22.312
1939.05,34.69,22.312
1943.15,34.69,22.375
1947.24,34.69,22.312
1951.34,34.69,22.312
1955.43,34.69,22.312
1959.53,34.75,22.312
1963.63,34.75,22.312
1967.72,34.75,22.312
1971.82,34.75,22.375
1975.91,34.75,22.312
1980.01,34.75,22.312
1984.11,34.75,22.312
1988.2,34.75,22.312
1992.3,34.75,22.312
1996.39,34.81,22.312
2000.49,34.81,22.375
2004.59,34.81,22.312
2008.68,34.81,22.312
2012.78,34.81,22.312
2016.87,34.81,22.312
2020.97,34.88,22.312
2025.07,34.81,22.312
2029.16,34.81,22.312
2033.26,34.81,22.312
2037.35,34.81,22.312
2041.45,34.88,22.312
2045.55,34.88,22.312
2049.64,34.88,22.312
2053.74,34.94,22.312
2057.83,34.88,22.312
2061.93,34.88,22.312
2066.03,34.94,22.312
2070.12,34.94,22.312
2074.22,34.94,22.312
2078.31,34.94,22.25
2082.41,34.94,22.312
2086.51,34.94,22.25
2090.6,34.94,22.312
2094.7,35.0,22.312
2098.79,34.94,22.25
2102.89,35.0,22.312
2106.99,34.94,22.25
2111.08,34.94,22.312
