seconds,t_motor,t_ambient
1078.85,25.88,23.19
1082.94,25.88,23.19
1087.04,25.88,23.19
1091.13,25.88,23.19
1095.23,25.88,23.19
1099.33,25.81,23.19
1103.42,25.88,23.19
1107.52,25.81,23.19
1111.61,25.88,23.19
1115.71,25.88,23.19
1119.81,25.81,23.19
1123.9,25.88,23.19
1128.0,25.81,23.19
1132.09,25.88,23.19
1136.19,25.88,23.19
1140.29,25.88,23.19
1144.38,25.88,23.25
1148.48,25.88,23.19
1152.57,25.88,23.19
1156.67,25.88,23.19
1160.77,25.88,23.19
1164.86,25.88,23.19
1168.96,25.88,23.19
1173.05,25.88,23.25
1177.15,25.88,23.19
1181.25,25.88,23.19
1185.34,25.88,23.19
1189.44,25.88,23.25
1193.53,25.88,23.19
1197.63,25.94,23.25
1201.73,25.94,23.19
1205.82,25.88,23.19
1209.92,25.88,23.25
1214.01,25.88,23.19
1218.11,25.88,23.19
1222.21,25.88,23.19
1226.3,25.88,23.19
1230.4,25.88,23.19
1234.49,25.88,23.19
1238.59,25.88,23.19
1242.69,25.88,23.19
1246.78,25.88,23.19
1250.88,25.88,23.19
1254.97,25.88,23.19
1259.07,25.88,23.19
1263.17,25.88,23.19
1267.26,25.94,23.19
1271.36,25.88,23.19
1275.45,25.94,23.19
1279.55,25.88,23.19
1283.65,25.88,23.19
1287.74,25.88,23.19
1291.84,25.94,23.19
1295.93,25.88,23.19
1300.03,25.94,23.25
1304.13,25.88,23.19
1308.22,25.88,23.19
1312.32,25.94,23.19
1316.41,25.88,23.19
1320.51,25.88,23.19
1324.61,25.88,23.19
1328.7,25.88,23.19
1332.8,25.88,23.19
1336.89,25.88,23.19
1340.99,25.88,23.19
1345.09,25.88,23.19
1349.18,25.88,23.19
1353.28,25.88,23.19
1357.37,25.88,23.19
1361.47,25.88,23.19
1365.57,25.88,23.19
1369.66,25.94,23.19
1373.76,25.88,23.19
1377.85,25.88,23.19
1381.95,25.88,23.19
1386.05,25.94,23.19
1390.14,25.88,23.19
1394.24,25.88,23.19
1398.33,25.88,23.12
1402.43,25.94,23.12
1406.53,25.94,23.19
1410.62,25.94,23.12
1414.72,25.94,23.19
1418.81,25.88,23.19
1422.91,25.88,23.19
1427.01,25.94,23.12
1431.1,26.0,23.19
1435.2,25.88,23.19
1439.29,25.94,23.19
1443.39,25.94,23.19
1447.49,25.88,23.19
1451.58,25.88,23.12
1455.68,25.94,23.12
1459.77,25.94,23.19
1463.87,25.94,23.12
1467.97,25.94,23.12
1472.06,25.94,23.12
1476.16,25.88,23.12
1480.25,25.94,23.12
1484.35,25.94,23.12
1488.45,25.94,23.12
